y_test,y_pred,true_width,pred_width,abs_error
1447.15,1451.7913483720968,1447.15,1451.7913483720968,4.641348372096672
1543.16,1537.4846718481836,1543.16,1537.4846718481836,5.6753281518165295
1454.72,1456.5140582816061,1454.72,1456.5140582816061,1.7940582816061124
1257.64,1255.9654910464528,1257.64,1255.9654910464528,1.6745089535472744
1394.39,1382.6938627610193,1394.39,1382.6938627610193,11.696137238980782
1448.29,1444.506635109097,1448.29,1444.506635109097,3.7833648909029307
1253.85,1251.1510909663934,1253.85,1251.1510909663934,2.698909033606469
1475.96,1474.5375914944723,1475.96,1474.5375914944723,1.4224085055277556
1560.53,1557.267029932491,1560.53,1557.267029932491,3.262970067509059
1193.41,1183.2026613950352,1193.41,1183.2026613950352,10.207338604964889
1018.97,1018.8132944975889,1018.97,1018.8132944975889,0.15670550241111414
1339.98,1338.0557795815996,1339.98,1338.0557795815996,1.9242204184004095
1549.52,1552.7170911147387,1549.52,1552.7170911147387,3.1970911147386687
1413.62,1411.1249445095568,1413.62,1411.1249445095568,2.4950554904430646
1205.01,1205.2574541766605,1205.01,1205.2574541766605,0.24745417666053982
1159.89,1154.649335208177,1159.89,1154.649335208177,5.240664791823065
1354.24,1359.264704424257,1354.24,1359.264704424257,5.0247044242569245
1323.25,1321.7436211774666,1323.25,1321.7436211774666,1.5063788225334065
1313.9,1306.3407039834237,1313.9,1306.3407039834237,7.559296016576354
1249.94,1249.1941519362979,1249.94,1249.1941519362979,0.7458480637021694
1741.26,1738.9859598785279,1741.26,1738.9859598785279,2.274040121472126
1369.24,1367.5530768601025,1369.24,1367.5530768601025,1.6869231398975444
1014.93,1010.2752390363937,1014.93,1010.2752390363937,4.654760963606236
1394.57,1391.867821862505,1394.57,1391.867821862505,2.7021781374949114
1292.33,1285.6324692274102,1292.33,1285.6324692274102,6.697530772589744
1053.72,1055.3781526374507,1053.72,1055.3781526374507,1.658152637450712
1750.12,1747.899660234285,1750.12,1747.899660234285,2.2203397657149253
1349.83,1346.1072737326508,1349.83,1346.1072737326508,3.722726267349117
1151.4,1149.9357947753324,1151.4,1149.9357947753324,1.464205224667694
951.38,948.1216307615075,951.38,948.1216307615075,3.2583692384924916
1789.29,1798.4871493128978,1789.29,1798.4871493128978,9.197149312897864
1285.71,1286.222004753438,1285.71,1286.222004753438,0.51200475343785
1675.86,1667.462311019724,1675.86,1667.462311019724,8.397688980275916
1289.06,1291.9118790974321,1289.06,1291.9118790974321,2.8518790974321746
1200.74,1202.4788283084436,1200.74,1202.4788283084436,1.7388283084435443
1470.21,1466.2477128153505,1470.21,1466.2477128153505,3.96228718464954
1290.93,1288.1209192987535,1290.93,1288.1209192987535,2.8090807012465575
1446.41,1442.5516775840115,1446.41,1442.5516775840115,3.858322415988596
1190.23,1190.9226904943052,1190.23,1190.9226904943052,0.692690494305225
1239.41,1239.193090395026,1239.41,1239.193090395026,0.21690960497403466
1288.3,1286.8994681677973,1288.3,1286.8994681677973,1.4005318322026596
1083.5,1089.4424556459421,1083.5,1089.4424556459421,5.942455645942118
1328.03,1324.2612111418566,1328.03,1324.2612111418566,3.7687888581433526
1049.14,1051.7810189368588,1049.14,1051.7810189368588,2.6410189368587
1563.26,1554.7180223785722,1563.26,1554.7180223785722,8.541977621427804
1312.98,1314.048969547758,1312.98,1314.048969547758,1.068969547757888
1055.01,1052.3113866038466,1055.01,1052.3113866038466,2.698613396153405
1746.84,1750.2950752008883,1746.84,1750.2950752008883,3.455075200888359
1371.28,1372.5623714860023,1371.28,1372.5623714860023,1.2823714860023756
1177.0,1174.998427061297,1177.0,1174.998427061297,2.0015729387030206
1395.17,1397.5769369260947,1395.17,1397.5769369260947,2.4069369260946587
1048.33,1048.0552818158747,1048.33,1048.0552818158747,0.2747181841252768
942.99,942.9398205275559,942.99,942.9398205275559,0.05017947244414245
1312.09,1309.2708334204945,1312.09,1309.2708334204945,2.8191665795054632
1564.07,1565.1451039233498,1564.07,1565.1451039233498,1.0751039233498432
1357.94,1355.5530471450188,1357.94,1355.5530471450188,2.3869528549812458
1291.14,1292.9925234911404,1291.14,1292.9925234911404,1.8525234911403459
